norm_key,ulcm_substance_raw,atc_codes,ulcm_rows,is_combination,role,n_suppliers,n_countries,top_country,top_country_share,hhi_country,single_country,eu_eea_share,countries
esketamine,ESKETAMINE,N01AX14|N06AX27,2,False,batch_release,1.0,1.0,BE,1.0,10000.0,True,1.0,BE
esomeprazole,ESOMEPRAZOLE,A02BC05,1,False,api_cep,39.0,8.0,IN,0.5384615384615384,3543.7,False,0.1794871794871795,CN|ES|FR|IN|IT|MX|SI|TR
esomeprazole,ESOMEPRAZOLE,A02BC05,1,False,batch_release,1.0,1.0,IT,1.0,10000.0,True,1.0,IT
ethambutol,ETHAMBUTOL,J04AK02,1,False,api_cep,2.0,1.0,IN,1.0,10000.0,True,0.0,IN
ethosuximide,ETHOSUXIMIDE,N03AD01,1,False,api_cep,1.0,1.0,NL,1.0,10000.0,True,1.0,NL
etoposide,ETOPOSIDE,L01CB01,1,False,api_cep,8.0,5.0,CN,0.375,2500.0,False,0.125,CN|IL|IN|JP|NL
factor viii inhibitor bypassing activity,FACTOR VIII INHIBITOR BYPASSING ACTIVITY,B02BD03,1,False,,,,,,,,,
fentanyl,FENTANYL,N01AH01,1,False,api_cep,15.0,11.0,US,0.26666666666666666,1288.9,False,0.4,BE|CN|DE|ES|GB|IN|LV|NL|SK|US|ZA
fentanyl,FENTANYL,N01AH01,1,False,batch_release,3.0,3.0,DE,0.3333333333333333,3333.3,False,1.0,DE|IT|NO
fibrinogen,HUMAN FIBRINOGEN,B02BB01,1,False,,,,,,,,,
fidaxomicin,FIDAXOMICIN,A07AA12,1,False,batch_release,2.0,2.0,DE,0.5,5000.0,False,0.5,DE|GB
flecainide,FLECAINIDE,C01BC04,1,False,api_cep,12.0,5.0,IN,0.6666666666666666,4722.2,False,0.25,AR|FR|IN|IT|LV
flucloxacillin,FLUCLOXACILLIN,J01CF05,1,False,api_cep,8.0,4.0,IT,0.5,3437.5,False,0.625,IN|IT|NL|OM
fluconazole,FLUCONAZOLE,J02AC01,1,False,api_cep,15.0,3.0,IN,0.8,6622.2,False,0.2,ES|HU|IN
fludarabine,FLUDARABINE,L01BB05,1,False,api_cep,7.0,4.0,CN,0.5714285714285714,3877.6,False,0.2857142857142857,CH|CN|IT|NL
fludrocortisone,FLUDROCORTISONE,H02AA02,1,False,api_cep,2.0,2.0,CN,0.5,5000.0,False,0.5,CN|IT
flumazenil,FLUMAZENIL,V03AB25,1,False,api_cep,4.0,4.0,CN,0.25,2500.0,False,0.25,CN|IL|NL|TW
fluorouracil,FLUOROURACIL,L01BC02,1,False,api_cep,4.0,3.0,CN,0.5,3750.0,False,0.25,CH|CN|NL
folinic acid,FOLINIC ACID,V03AF03,1,False,,,,,,,,,
fomepizole,FOMEPIZOLE,V03AB34,1,False,,,,,,,,,
foscarnet,FOSCARNET,J05AD01,1,False,api_cep,4.0,3.0,IN,0.5,3750.0,False,0.0,CN|IN|US
fosfomycin,FOSFOMYCIN,J01XX01,1,False,api_cep,9.0,6.0,CN,0.3333333333333333,2098.8,False,0.5555555555555556,CN|ES|FR|IE|IT|MX
furosemide,FUROSEMIDE,C03CA01,1,False,api_cep,9.0,4.0,IN,0.5555555555555556,3827.2,False,0.4444444444444444,DE|IN|IT|NL
ganciclovir,GANCICLOVIR,J05AB06,1,False,api_cep,2.0,1.0,CN,1.0,10000.0,True,0.0,CN
gemcitabine,GEMCITABINE,L01BC05,1,False,api_cep,18.0,7.0,IN,0.5,3148.1,False,0.1111111111111111,CH|CN|ES|IN|NL|TW|US
gemtuzumab ozogamicin,GEMTUZUMAB OZOGAMICIN,L01FX02,1,False,batch_release,1.0,1.0,BE,1.0,10000.0,True,1.0,BE
gemtuzumab ozogamicin,GEMTUZUMAB OZOGAMICIN,L01FX02,1,False,bio_api,1.0,1.0,US,1.0,10000.0,True,0.0,US
gentamicin,GENTAMICIN,J01GB03,1,False,api_cep,3.0,2.0,CN,0.6666666666666666,5555.6,False,0.3333333333333333,CN|SI
glatiramer,GLATIRAMER,L03AX13,1,False,,,,,,,,,
glucagon,GLUCAGON,H04AA01,1,False,batch_release,2.0,2.0,FR,0.5,5000.0,False,1.0,FR|NL
