atc_code,atc_level1,role,n_substances,n_suppliers,n_ulcm_substances,n_countries,top_country,top_country_share,hhi_country,eu_eea_share
A10AB04,A,bio_api,1,5,0,3,US,0.6,4400.0,0.2
A10AB04,A,mah_national,1,2,0,,,,,
A10AB05,A,batch_release,1,6,1,4,DK,0.5,3333.3,1.0
A10AB05,A,bio_api,1,3,1,3,DE,0.3333,3333.3,0.6667
A10AB05,A,mah_national,1,4,1,,,,,
A10AB06,A,batch_release,1,1,0,1,DE,1.0,10000.0,1.0
A10AB06,A,bio_api,1,1,0,1,DE,1.0,10000.0,1.0
A10AB06,A,mah_national,1,1,0,,,,,
A10AC,A,mah_national,1,3,1,,,,,
A10AC01,A,batch_release,1,2,1,2,DK,0.5,5000.0,1.0
A10AC01,A,bio_api,1,1,1,1,DK,1.0,10000.0,1.0
A10AC01,A,mah_national,1,3,1,,,,,
A10AD,A,mah_national,5,4,3,,,,,
A10AD01,A,batch_release,1,3,1,2,DK,0.6667,5555.6,1.0
A10AD01,A,bio_api,1,1,1,1,DK,1.0,10000.0,1.0
A10AD01,A,mah_national,2,4,1,,,,,
A10AD04,A,mah_national,1,1,0,,,,,
A10AD05,A,batch_release,1,5,1,4,DK,0.4,2800.0,1.0
A10AD05,A,bio_api,1,2,1,2,DE,0.5,5000.0,1.0
A10AD05,A,mah_national,1,2,1,,,,,
A10AD06,A,batch_release,1,3,0,2,DK,0.6667,5555.6,1.0
A10AD06,A,bio_api,1,1,0,1,DK,1.0,10000.0,1.0
A10AD06,A,mah_national,2,1,2,,,,,
A10AE,A,mah_national,5,5,1,,,,,
A10AE04,A,batch_release,1,5,0,4,DE,0.4,2800.0,1.0
A10AE04,A,bio_api,1,5,0,5,CN,0.2,2000.0,0.2
A10AE04,A,mah_national,2,5,0,,,,,
A10AE05,A,mah_national,2,1,0,,,,,
A10AE06,A,batch_release,1,2,1,2,DK,0.5,5000.0,1.0
A10AE06,A,bio_api,1,1,1,1,DK,1.0,10000.0,1.0
A10AE06,A,mah_national,1,1,1,,,,,
A10AE07,A,batch_release,1,1,0,1,DK,1.0,10000.0,1.0
A10AE07,A,bio_api,1,1,0,1,DK,1.0,10000.0,1.0
A10AE07,A,mah_national,1,1,0,,,,,
A10AE54,A,batch_release,1,1,0,1,DE,1.0,10000.0,1.0
A10AE54,A,bio_api,1,1,0,1,DE,1.0,10000.0,1.0
A10AE56,A,batch_release,1,1,0,1,DK,1.0,10000.0,1.0
A10AE56,A,bio_api,1,1,0,1,DK,1.0,10000.0,1.0
A10AE57,A,batch_release,1,1,0,1,DK,1.0,10000.0,1.0
A10AE57,A,bio_api,1,1,0,1,DK,1.0,10000.0,1.0
