,medicine_name,active_substance,atc_code,medicine_url,pdf_url,source_block,manufacturer_name,address,country,manufacturer_step
118,Zyprexa,olanzapine,N05AH03,https://www.ema.europa.eu/en/medicines/human/EPAR/zyprexa,https://www.ema.europa.eu/en/documents/product-information/zyprexa-epar-product-information_en.pdf,"A. MANUFACTURERS RESPONSIBLE FOR BATCH RELEASE
Name and address of the manufacturer(s) responsible for batch release
Coated Tablets
Fidelio Healthcare Limburg GmbH, Mundipharmastraße 2, 65549 Limburg an der Lahn, Germany.
CHEPLAPHARM Registration GmbH, Weiler Straße 5e, 79540 Lörrach, Germany.
Powder for solution for injection
Lilly S.A., Avda. de la Industria 30, 28108 Alcobendas, Madrid, Spain.
Prestige Promotion Verkaufsfoerderung & Werbeservice GmbH, Borsigstrasse 2, 63755 Alzenau,
Germany.
CHEPLAPHARM Registration GmbH, Weiler Straße 5e, 79540 Lörrach, Germany.",Fidelio Healthcare Limburg GmbH,"Mundipharmastraße 2
65549 Limburg an der Lahn
Germany.",Germany,2
119,Zyprexa,olanzapine,N05AH03,https://www.ema.europa.eu/en/medicines/human/EPAR/zyprexa,,"A. MANUFACTURERS RESPONSIBLE FOR BATCH RELEASE
Name and address of the manufacturer(s) responsible for batch release
Coated Tablets
Fidelio Healthcare Limburg GmbH, Mundipharmastraße 2, 65549 Limburg an der Lahn, Germany.
CHEPLAPHARM Registration GmbH, Weiler Straße 5e, 79540 Lörrach, Germany.
Powder for solution for injection
Lilly S.A., Avda. de la Industria 30, 28108 Alcobendas, Madrid, Spain.
Prestige Promotion Verkaufsfoerderung & Werbeservice GmbH, Borsigstrasse 2, 63755 Alzenau,
Germany.
CHEPLAPHARM Registration GmbH, Weiler Straße 5e, 79540 Lörrach, Germany.",CHEPLAPHARM Registration GmbH,"Weiler Straße 5e
79540 Lörrach
Germany.",Germany,2
120,Zyprexa,olanzapine,N05AH03,https://www.ema.europa.eu/en/medicines/human/EPAR/zyprexa,https://www.ema.europa.eu/en/documents/product-information/zyprexa-epar-product-information_en.pdf,"A. MANUFACTURERS RESPONSIBLE FOR BATCH RELEASE
Name and address of the manufacturer(s) responsible for batch release
Coated Tablets
Fidelio Healthcare Limburg GmbH, Mundipharmastraße 2, 65549 Limburg an der Lahn, Germany.
CHEPLAPHARM Registration GmbH, Weiler Straße 5e, 79540 Lörrach, Germany.
Powder for solution for injection
Lilly S.A., Avda. de la Industria 30, 28108 Alcobendas, Madrid, Spain.
Prestige Promotion Verkaufsfoerderung & Werbeservice GmbH, Borsigstrasse 2, 63755 Alzenau,
Germany.
CHEPLAPHARM Registration GmbH, Weiler Straße 5e, 79540 Lörrach, Germany.",Lilly S.A.,"Avda. de la Industria 30, 28108 Alcobendas, Madrid",Spain,2
121,Zyprexa,olanzapine,N05AH03,https://www.ema.europa.eu/en/medicines/human/EPAR/zyprexa,https://www.ema.europa.eu/en/documents/product-information/zyprexa-epar-product-information_en.pdf,"A. MANUFACTURERS RESPONSIBLE FOR BATCH RELEASE
Name and address of the manufacturer(s) responsible for batch release
Coated Tablets
Fidelio Healthcare Limburg GmbH, Mundipharmastraße 2, 65549 Limburg an der Lahn, Germany.
CHEPLAPHARM Registration GmbH, Weiler Straße 5e, 79540 Lörrach, Germany.
Powder for solution for injection
Lilly S.A., Avda. de la Industria 30, 28108 Alcobendas, Madrid, Spain.
Prestige Promotion Verkaufsfoerderung & Werbeservice GmbH, Borsigstrasse 2, 63755 Alzenau,
Germany.
CHEPLAPHARM Registration GmbH, Weiler Straße 5e, 79540 Lörrach, Germany.",Prestige Promotion Verkaufsfoerderung & Werbeservice GmbH,"Prestige Promotion Verkaufsfoerderung & Werbeservice GmbH, Borsigstrasse 2, 63755 Alzenau,
Germany.",Germany,2
122,Zyprexa,olanzapine,N05AH03,https://www.ema.europa.eu/en/medicines/human/EPAR/zyprexa,https://www.ema.europa.eu/en/documents/product-information/zyprexa-epar-product-information_en.pdf,"A. MANUFACTURERS RESPONSIBLE FOR BATCH RELEASE
Name and address of the manufacturer(s) responsible for batch release
Coated Tablets
Fidelio Healthcare Limburg GmbH, Mundipharmastraße 2, 65549 Limburg an der Lahn, Germany.
CHEPLAPHARM Registration GmbH, Weiler Straße 5e, 79540 Lörrach, Germany.
Powder for solution for injection
Lilly S.A., Avda. de la Industria 30, 28108 Alcobendas, Madrid, Spain.
Prestige Promotion Verkaufsfoerderung & Werbeservice GmbH, Borsigstrasse 2, 63755 Alzenau,
Germany.
CHEPLAPHARM Registration GmbH, Weiler Straße 5e, 79540 Lörrach, Germany.",CHEPLAPHARM Registration GmbH,"CHEPLAPHARM Registration GmbH, Weiler Straße 5e, 79540 Lörrach, Germany.",Germany,2
123,Tepadina,thiotepa,L01AC01,https://www.ema.europa.eu/en/medicines/human/EPAR/tepadina,https://www.ema.europa.eu/en/documents/product-information/tepadina-epar-product-information_en.pdf,"A. MANUFACTURER RESPONSIBLE FOR BATCH RELEASE
Name and address of the manufacturer responsible for batch release
ADIENNE S.r.l. S.U.
Via Galileo Galilei, 19
20867 Caponago (MB) Italy",Germany.,"Via Galileo Galilei, 19
20867 Caponago (MB) Italy",Italy,2
124,Kigabeq,vigabatrin,N03AG04,https://www.ema.europa.eu/en/medicines/human/EPAR/kigabeq,https://www.ema.europa.eu/en/documents/product-information/kigabeq-epar-product-information_en.pdf,"A. MANUFACTURERS RESPONSIBLE FOR BATCH RELEASE
Name and address of the manufacturers responsible for batch release
Farmea
10, rue Bouché Thomas
ZAC d'Orgemont
F-49000 Angers
France
Centre Spécialités Pharmaceutiques
76-78 avenue du Midi
63800 Cournon d’Auvergne
France
Biocodex
1 avenue Blaise Pascal
60000 Beauvais
France",Farmea,"10, rue Bouché Thomas
ZAC d'Orgemont
F-49000 Angers
France
Centre Spécialités Pharmaceutiques
76-78 avenue du Midi
63800 Cournon d’Auvergne
France
Biocodex
1 avenue Blaise Pascal
60000 Beauvais
France",France,2
125,Kigabeq,vigabatrin,N03AG04,https://www.ema.europa.eu/en/medicines/human/EPAR/kigabeq,https://www.ema.europa.eu/en/documents/product-information/kigabeq-epar-product-information_en.pdf,"A. MANUFACTURERS RESPONSIBLE FOR BATCH RELEASE
Name and address of the manufacturers responsible for batch release
Farmea
10, rue Bouché Thomas
ZAC d'Orgemont
F-49000 Angers
France
Centre Spécialités Pharmaceutiques
76-78 avenue du Midi
63800 Cournon d’Auvergne
France
Biocodex
1 avenue Blaise Pascal
60000 Beauvais
France","Centre Spécialités Pharmaceutiques
","Centre Spécialités Pharmaceutiques
76-78 avenue du Midi
63800 Cournon d’Auvergne
France",France,2
126,Kigabeq,vigabatrin,N03AG04,https://www.ema.europa.eu/en/medicines/human/EPAR/kigabeq,https://www.ema.europa.eu/en/documents/product-information/kigabeq-epar-product-information_en.pdf,"A. MANUFACTURERS RESPONSIBLE FOR BATCH RELEASE
Name and address of the manufacturers responsible for batch release
Farmea
10, rue Bouché Thomas
ZAC d'Orgemont
F-49000 Angers
France
Centre Spécialités Pharmaceutiques
76-78 avenue du Midi
63800 Cournon d’Auvergne
France
Biocodex
1 avenue Blaise Pascal
60000 Beauvais
France","Biocodex
","Biocodex
1 avenue Blaise Pascal
60000 Beauvais
France",France,2
127,Trecondi,treosulfan,L01AB02,https://www.ema.europa.eu/en/medicines/human/EPAR/trecondi,https://www.ema.europa.eu/en/documents/product-information/trecondi-epar-product-information_en.pdf,"A. MANUFACTURER(S) RESPONSIBLE FOR BATCH RELEASE
Name and address of the manufacturer(s) responsible for batch release
medac Gesellschaft für klinische Spezialpräparate mbH
Theaterstr. 6
22880 Wedel
Germany",medac Gesellschaft für klinische Spezialpräparate mbH,"Theaterstr. 6
22880 Wedel
Germany",Germany,2
128,Imbruvica,Ibrutinib,L01EL01,https://www.ema.europa.eu/en/medicines/human/EPAR/imbruvica,https://www.ema.europa.eu/en/documents/product-information/imbruvica-epar-product-information_en.pdf,"A. MANUFACTURER RESPONSIBLE FOR BATCH RELEASE
Name and address of the manufacturer responsible for batch release
IMBRUVICA Hard Capsules
Janssen Pharmaceutica NV
Turnhoutseweg 30
B-2340 Beerse
Belgium
Janssen-Cilag SpA
Via C. Janssen
Loc. Borgo S. Michele
04100 Latina
Italy",Janssen Pharmaceutica NV,"Turnhoutseweg 30
B-2340 Beerse
Belgium",Belgium,2
129,Imbruvica,Ibrutinib,L01EL01,https://www.ema.europa.eu/en/medicines/human/EPAR/imbruvica,https://www.ema.europa.eu/en/documents/product-information/imbruvica-epar-product-information_en.pdf,"A. MANUFACTURER RESPONSIBLE FOR BATCH RELEASE
Name and address of the manufacturer responsible for batch release
IMBRUVICA Hard Capsules
Janssen Pharmaceutica NV
Turnhoutseweg 30
B-2340 Beerse
Belgium
Janssen-Cilag SpA
Via C. Janssen
Loc. Borgo S. Michele
04100 Latina
Italy",Janssen-Cilag SpA,"Via C. Janssen
Loc. Borgo S. Michele
04100 Latina
Italy",Italy,2
