product_id,product_name,licence_number,licence_holder,atc_code,matched_critical_atc,mfr_company,mfr_address,mfr_country,pdf_url
20136,Rolyprexa 7.5 mg film-coated tablets,PA0711/124/003,"Rowex Limited,","N05AH Diazepines, oxazepines, thiazepines and oxepines, N05AH03 olanzapine",N05AH03,Salutas Pharma GmbH | LEK S.A. | LEK S.A. | Lek Pharmaceuticals d.d.,"Otto-von-Guericke-Allee 1, 39179 Barleben | ul.Podlipie 16C, PL-95 010 Strykow | ul. Domaniewska 50 C, PL-02-672 Warszawa | Verovškova 57, SI-1526 Ljubljana",Germany | Poland | Poland | Slovenia,https://assets.hpra.ie/products/Human/20136/792a89b7-f08d-4a8a-92c8-0a0ac51d2ead.pdf
39074,Fludrocortisone Acetate Renata 0.1 mg tablets,PA22865/007/001,Renata Pharmaceuticals (Ireland) Limited,H02AA02 fludrocortisone,H02AA02,Misom Labs Ltd,"Malta Life Sciences Park
LS2.01.06 Industrial Estate
San Gwann SGN 3000",Malta,https://assets.hpra.ie/products/Human/39074/97e89adb-d6c0-4707-8a99-0e7c076c3d20.pdf
24615,Zovirax Double Strength 400 mg / 5 mL Oral Suspension,PA1077/084/006,GlaxoSmithKline (Ireland) Limited,"J05AB Nucleosides and nucleotides excl. reverse transcriptase inhibitors, J05AB01 aciclovir",J05AB01,Aspen Bad Oldesloe GmbH,"Industriestrasse 32-36, 23843 Bad Oldesloe",Germany,https://assets.hpra.ie/products/Human/24615/e2d4b42f-0148-4de1-9d90-2bfaffecefb4.pdf
24616,Zovirax 200 mg Dispersible Tablets,PA1077/084/007,GlaxoSmithKline (Ireland) Limited,"J05AB Nucleosides and nucleotides excl. reverse transcriptase inhibitors, J05AB01 aciclovir",J05AB01,GlaxoWellcome S.A.,"Avenida de Extremadura 3, 09400 Aranda de Duero, Burgos",Spain,https://assets.hpra.ie/products/Human/24616/641eed4d-c430-48a6-9fcf-d193c87d1db7.pdf
24612,"Zovirax IV for Infusion 250 mg, Powder for solution for infusion",PA1077/084/003,GlaxoSmithKline (Ireland) Limited,"J05AB Nucleosides and nucleotides excl. reverse transcriptase inhibitors, J05AB01 aciclovir",J05AB01,GlaxoSmithKline Manufacturing S.p.A.,"Strada Provinciale Asolana 90, 43056 San Polo di Torrile, Parma",Italy,https://assets.hpra.ie/products/Human/24612/fe160196-ae6e-4cd9-ac5d-28a7f6940c2b.pdf
18669,Germentin 500 mg / 125 mg film coated tablets,PA23266/015/001,Viatris Limited,"J01CR Combinations of penicillins, incl. beta-lactamase inhibitors, J01CR02 amoxicillin and enzyme inhibitor",J01CR02,"Sandoz GmbH | McDermott Laboratories Ltd, t/a Gerard Laboratories","Kundl | 35/36 Baldoyle Industrial Estate, Grange Road, Dublin 13",Austria | Ireland,https://assets.hpra.ie/products/Human/18669/3ff9a1ac-4815-40a7-9a2a-3d19ae9bcfa1.pdf
27566,Cisplatin 1 mg / ml Concentrate for Solution for Infusion,PA2315/081/001,Accord Healthcare Ireland Ltd.,"L01XA Platinum compounds, L01XA01 cisplatin",L01XA01,Accord Healthcare Polska Sp.z o.o. | Accord Healthcare B.V.,"ul. Lutomierska 50, 95-200 Pabianice | Winthontlaan 200,
3526 KV Utrecht",Poland | Netherlands,https://assets.hpra.ie/products/Human/27566/5e4348e4-2b43-4996-83c8-840ff09e581d.pdf
29790,Noradrenaline (Norepinephrine) 0.08 mg / mL solution for infusion,PA1968/001/001,Laboratoire Aguettant,"C01CA Adrenergic and dopaminergic agents, C01CA03 norepinephrine",C01CA03,Laboratoire AGUETTANT,"1, rue Alexander Fleming, 69007 LYON",France,https://assets.hpra.ie/products/Human/29790/d7780a73-8d87-4ecf-a68a-bff918288d7c.pdf
18473,Vancomycin 500 mg powder for concentrate for solution for infusion,PA2059/066/001,Fresenius Kabi Deutschland GmbH,"J01XA Glycopeptide antibacterials, J01XA01 vancomycin",J01XA01,Labesfal - Laboratórios Almiro. S.A.,"Zona Industrial do Lagedo, 3465-157 Santiago de Besteiros",Portugal,https://assets.hpra.ie/products/Human/18473/d4e88467-b14f-417a-af61-03e01f1e7d12.pdf
18474,Vancomycin 1000 mg powder for concentrate for solution for infusion,PA2059/066/002,Fresenius Kabi Deutschland GmbH,"J01XA Glycopeptide antibacterials, J01XA01 vancomycin",J01XA01,Labesfal - Laboratórios Almiro. S.A.,"Zona Industrial do Lagedo, 3465-157 Santiago de Besteiros",Portugal,https://assets.hpra.ie/products/Human/18474/28398c9e-4828-4279-bfab-79d470acab44.pdf
