medicine_name;active_substance;atc_code;ema_url;pdf_url;source_block;manufacturer_name;address;country;manufacturer_step;latitude;longitude
TRAJENTA;linagliptin;A10BH05;https://www.ema.europa.eu/en/medicines/human/EPAR/trajenta;https://www.ema.europa.eu/en/documents/product-information/trajenta-epar-product-information_en.pdf;Boehringer Ingelheim Hellas Single Member S.A. | 5th km Paiania –Markopoulo | Koropi Attiki, 19441 | Greece;Boehringer Ingelheim Hellas Single Member S.A;Boehringer Ingelheim Hellas Single Member S.A., 5th km Paiania –Markopoulo, Koropi Attiki, 19441, Greece;Greece;batch_release;38.9953683;21.9877132
TRAJENTA;linagliptin;A10BH05;https://www.ema.europa.eu/en/medicines/human/EPAR/trajenta;https://www.ema.europa.eu/en/documents/product-information/trajenta-epar-product-information_en.pdf;Dragenopharm Apotheker Püschl GmbH | Göllstraße1 | 84529 Tittmoning | Germany;Dragenopharm Apotheker Püschl GmbH;Dragenopharm Apotheker Püschl GmbH, Göllstraße1, 84529 Tittmoning, Germany;Germany;batch_release;48.0621714;12.7676484
FOSCAN;temoporfin;L01XD05;https://www.ema.europa.eu/en/medicines/human/EPAR/foscan;https://www.ema.europa.eu/en/documents/product-information/foscan-epar-product-information_en.pdf;biolitec Pharma Ltd. | Otto-Schott-Str. 15 | 07745 Jena | Germany;biolitec Pharma Ltd;biolitec Pharma Ltd., Otto-Schott-Str. 15, 07745 Jena, Germany;Germany;batch_release;50.9281717;11.5879359
FOSAVANCE;alendronic acid / colecalciferol;M05BB03;https://www.ema.europa.eu/en/medicines/human/EPAR/fosavance;https://www.ema.europa.eu/en/documents/product-information/fosavance-epar-product-information_en.pdf;Merck Sharp & Dohme BV | Waarderweg 39 | 2031 BN, Haarlem | The Netherlands;Merck Sharp & Dohme BV;Merck Sharp & Dohme BV, Waarderweg 39, 2031 BN, Haarlem, The Netherlands;Netherlands;batch_release;52.3885317;4.6388048
FOSAVANCE;alendronic acid / colecalciferol;M05BB03;https://www.ema.europa.eu/en/medicines/human/EPAR/fosavance;https://www.ema.europa.eu/en/documents/product-information/fosavance-epar-product-information_en.pdf;Organon Heist bv | Industriepark 30 | 2220 Heist-op-den-Berg | Belgium;Organon Heist bv;Organon Heist bv, Industriepark 30, 2220 Heist-op-den-Berg, Belgium;Belgium;batch_release;51.0759905;4.7286753
FOSAVANCE;alendronic acid / colecalciferol;M05BB03;https://www.ema.europa.eu/en/medicines/human/EPAR/fosavance;https://www.ema.europa.eu/en/documents/product-information/fosavance-epar-product-information_en.pdf;Vianex S.A. | 15th Km Marathonos Avenue | Pallini 153 51, Greece;Vianex S.A;Vianex S.A., 15th Km Marathonos Avenue, Pallini 153 51, Greece;Greece;batch_release;38.0057615;23.8696043
KYINSU;insulin icodec / semaglutide;A10AE57;https://www.ema.europa.eu/en/medicines/human/EPAR/kyinsu;https://www.ema.europa.eu/en/documents/product-information/kyinsu-epar-product-information_en.pdf;Novo Nordisk A/S | Hallas Alle 1 | DK-4400 Kalundborg | Denmark;Novo Nordisk A/S;Novo Nordisk A/S, Hallas Alle 1, DK-4400 Kalundborg, Denmark;Denmark;biological_active_substance;55.6833793;11.0993619
KYINSU;insulin icodec / semaglutide;A10AE57;https://www.ema.europa.eu/en/medicines/human/EPAR/kyinsu;https://www.ema.europa.eu/en/documents/product-information/kyinsu-epar-product-information_en.pdf;Novo Nordisk A/S | Novo Alle 1 | DK-2880 Bagsvaerd | Denmark;Novo Nordisk A/S;Novo Nordisk A/S, Novo Alle 1, DK-2880 Bagsvaerd, Denmark;Denmark;batch_release;55.7583936;12.4573112
KAPRUVIA;difelikefalin;V03AX;https://www.ema.europa.eu/en/medicines/human/EPAR/kapruvia;https://www.ema.europa.eu/en/documents/product-information/kapruvia-epar-product-information_en.pdf;Vifor France | 100–101 Terrasse Boieldieu | Tour Franklin La Défense 8 | 92042 Paris la Défense Cedex | France;Vifor France;Vifor France, 100–101 Terrasse Boieldieu, Tour Franklin La Défense 8, 92042 Paris la Défense Cedex, France;France;batch_release;46.603354;1.8883335
IMJUDO;tremelimumab;L01FX20;https://www.ema.europa.eu/en/medicines/human/EPAR/imjudo;https://www.ema.europa.eu/en/documents/product-information/imjudo-epar-product-information_en.pdf;Boehringer Ingelheim Pharma GmBH & Co. KG | Birkendorfer Strasse 65 | 88397, Biberach An Der Riss | Germany;Boehringer Ingelheim Pharma GmBH & Co. KG;Boehringer Ingelheim Pharma GmBH & Co. KG, Birkendorfer Strasse 65, 88397, Biberach An Der Riss, Germany;Germany;biological_active_substance;48.0984413;9.7899938
IMJUDO;tremelimumab;L01FX20;https://www.ema.europa.eu/en/medicines/human/EPAR/imjudo;https://www.ema.europa.eu/en/documents/product-information/imjudo-epar-product-information_en.pdf;AstraZeneca AB | Gärtunavägen | SE-152 57 Södertälje | Sweden;AstraZeneca AB;AstraZeneca AB, Gärtunavägen, SE-152 57 Södertälje, Sweden;Sweden;batch_release;59.1850949;17.6672663
STEGLATRO;ertugliflozin l-pyroglutamic acid;A10BK04;https://www.ema.europa.eu/en/medicines/human/EPAR/steglatro;https://www.ema.europa.eu/en/documents/product-information/steglatro-epar-product-information_en.pdf;Organon Heist bv | Industriepark 30 | 2220 Heist-op-den-Berg | Belgium;Organon Heist bv;Organon Heist bv, Industriepark 30, 2220 Heist-op-den-Berg, Belgium;Belgium;batch_release;51.0759905;4.7286753
STEGLATRO;ertugliflozin l-pyroglutamic acid;A10BK04;https://www.ema.europa.eu/en/medicines/human/EPAR/steglatro;https://www.ema.europa.eu/en/documents/product-information/steglatro-epar-product-information_en.pdf;Merck Sharp & Dohme B.V. | Waarderweg 39 | 2031 BN Haarlem | Netherlands;Merck Sharp & Dohme B.V;Merck Sharp & Dohme B.V., Waarderweg 39, 2031 BN Haarlem, Netherlands;Netherlands;batch_release;52.3837281;4.6435679
SEPHIENCE;sepiapterin;A16A;https://www.ema.europa.eu/en/medicines/human/EPAR/sephience;https://www.ema.europa.eu/en/documents/product-information/sephience-epar-product-information_en.pdf;PTC Therapeutics International Limited | Unit 1, 52-55 Sir John Rogerson’s Quay | Dublin 2, D02 NA07 | Ireland;PTC Therapeutics International Limited;PTC Therapeutics International Limited, Unit 1, 52-55 Sir John Rogerson’s Quay, Dublin 2, D02 NA07, Ireland;Ireland;batch_release;52.0600343;-0.347478
ROMVIMZA;vimseltinib dihydrate;L01EX;https://www.ema.europa.eu/en/medicines/human/EPAR/romvimza;https://www.ema.europa.eu/en/documents/product-information/romvimza-epar-product-information_en.pdf;Deciphera Pharmaceuticals (Netherlands) B.V. | Strawinskylaan 3051 | 1077 ZX, Amsterdam | Netherlands;Deciphera Pharmaceuticals (Netherlands) B.V;Deciphera Pharmaceuticals (Netherlands) B.V., Strawinskylaan 3051, 1077 ZX, Amsterdam, Netherlands;Netherlands;batch_release;52.3730796;4.8924534
QINLOCK;ripretinib;L01;https://www.ema.europa.eu/en/medicines/human/EPAR/qinlock;https://www.ema.europa.eu/en/documents/product-information/qinlock-epar-product-information_en.pdf;Deciphera Pharmaceuticals (Netherlands) B.V. | Strawinskylaan 3051 | 1077ZX, Amsterdam | Netherlands;Deciphera Pharmaceuticals (Netherlands) B.V;Deciphera Pharmaceuticals (Netherlands) B.V., Strawinskylaan 3051, 1077ZX, Amsterdam, Netherlands;Netherlands;batch_release;52.3730796;4.8924534
HYQVIA;human normal immunoglobulin;J06BA01;https://www.ema.europa.eu/en/medicines/human/EPAR/hyqvia;https://www.ema.europa.eu/en/documents/product-information/hyqvia-epar-product-information_en.pdf;Baxalta Belgium Manufacturing SA | Boulevard René Branquart 80 | B-7860 Lessines | Belgium;Baxalta Belgium Manufacturing SA;Baxalta Belgium Manufacturing SA, Boulevard René Branquart 80, B-7860 Lessines, Belgium;Belgium;biological_active_substance;50.7123036;3.8301131
HYQVIA;human normal immunoglobulin;J06BA01;https://www.ema.europa.eu/en/medicines/human/EPAR/hyqvia;https://www.ema.europa.eu/en/documents/product-information/hyqvia-epar-product-information_en.pdf;Baxalta Belgium Manufacturing SA | Boulevard René Branquart 80 | B-7860 Lessines | Belgium;Baxalta Belgium Manufacturing SA;Baxalta Belgium Manufacturing SA, Boulevard René Branquart 80, B-7860 Lessines, Belgium;Belgium;batch_release;50.7123036;3.8301131
WINLEVI;clascoterone;D10AX06;https://www.ema.europa.eu/en/medicines/human/EPAR/winlevi;https://www.ema.europa.eu/en/documents/product-information/winlevi-epar-product-information_en.pdf;Cosmo S.p.A. | Via C. Colombo 1, | 20045 Lainate, | Milan, Italy.;Cosmo S.p.A;Cosmo S.p.A., Via C. Colombo 1,, 20045 Lainate,, Milan, Italy.;Italy;batch_release;45.4641943;9.1896346
PIASKY;Crovalimab;L04AJ07;https://www.ema.europa.eu/en/medicines/human/EPAR/piasky;https://www.ema.europa.eu/en/documents/product-information/piasky-epar-product-information_en.pdf;Roche Diagnostics GmbH | Nonnenwald 2 | 82377 Penzberg | Germany;Roche Diagnostics GmbH;Roche Diagnostics GmbH, Nonnenwald 2, 82377 Penzberg, Germany;Germany;biological_active_substance;47.7518502;11.3763014
PIASKY;Crovalimab;L04AJ07;https://www.ema.europa.eu/en/medicines/human/EPAR/piasky;https://www.ema.europa.eu/en/documents/product-information/piasky-epar-product-information_en.pdf;Roche Pharma AG | Emil-Barell-Strasse 1 | 79639 Grenzach-Wyhlen | Germany;Roche Pharma AG;Roche Pharma AG, Emil-Barell-Strasse 1, 79639 Grenzach-Wyhlen, Germany;Germany;batch_release;47.5528548;7.6737981
DATROWAY;datopotamab deruxtecan;L01FX35;https://www.ema.europa.eu/en/medicines/human/EPAR/datroway;https://www.ema.europa.eu/en/documents/product-information/datroway-epar-product-information_en.pdf;Daiichi Sankyo Co. Ltd. | Onahama Plant | 389-4 Aza Otsurugi, Izumimachi Shimogawa, Iwaki | Fukushima 971-8183 | Japan;Daiichi Sankyo Co. Ltd;Daiichi Sankyo Co. Ltd., Onahama Plant, 389-4 Aza Otsurugi, Izumimachi Shimogawa, Iwaki, Fukushima 971-8183, Japan;Japan;biological_active_substance;37.760777;140.4745807
DATROWAY;datopotamab deruxtecan;L01FX35;https://www.ema.europa.eu/en/medicines/human/EPAR/datroway;https://www.ema.europa.eu/en/documents/product-information/datroway-epar-product-information_en.pdf;Lonza AG | Lonzastrasse | 3930 Visp | Switzerland;Lonza AG;Lonza AG, Lonzastrasse, 3930 Visp, Switzerland;Switzerland;biological_active_substance;46.2955055;7.8864377
DATROWAY;datopotamab deruxtecan;L01FX35;https://www.ema.europa.eu/en/medicines/human/EPAR/datroway;https://www.ema.europa.eu/en/documents/product-information/datroway-epar-product-information_en.pdf;Daiichi Sankyo Europe GmbH | Luitpoldstrasse 1 | 85276 Pfaffenhofen | Germany;Daiichi Sankyo Europe GmbH;Daiichi Sankyo Europe GmbH, Luitpoldstrasse 1, 85276 Pfaffenhofen, Germany;Germany;batch_release;48.5443022;11.5082767
LYTENAVA;bevacizumab;S01LA08;https://www.ema.europa.eu/en/medicines/human/EPAR/lytenava;https://www.ema.europa.eu/en/documents/product-information/lytenava-epar-product-information_en.pdf;FUJIFILM Diosynth Biotechnologies Texas, LLC | 3939 Biomedical Way | College Station, Texas (TX) 77845 | United States (USA);FUJIFILM Diosynth Biotechnologies Texas, LLC;FUJIFILM Diosynth Biotechnologies Texas, LLC, 3939 Biomedical Way, College Station, Texas (TX) 77845, United States (USA);United States;biological_active_substance;31.2638905;-98.5456116
LYTENAVA;bevacizumab;S01LA08;https://www.ema.europa.eu/en/medicines/human/EPAR/lytenava;https://www.ema.europa.eu/en/documents/product-information/lytenava-epar-product-information_en.pdf;MIAS Pharma Limited | Suite 1, Stafford House, Strand Road | Portmarnock | Dublin | D13 WC83 | Ireland;MIAS Pharma Limited;MIAS Pharma Limited, Suite 1, Stafford House, Strand Road, Portmarnock, Dublin, D13 WC83, Ireland;Ireland;batch_release;52.0600343;-0.347478
