atc_code,mfr_company,mfr_country,manufacturer_step,source,level1_code,level1_name
L01CE01,Pfizer Service Company BV,Belgium,2,ema,L,Antineoplastic & immunomodulating
L01EC02,Lek Pharmaceuticals d.d.,Slovenia,2,ema,L,Antineoplastic & immunomodulating
L01EC02,Novartis Pharmaceutical Manufacturing LLC,Slovenia,2,ema,L,Antineoplastic & immunomodulating
L01EC02,Novartis Farmacéutica S.A.,Spain,2,ema,L,Antineoplastic & immunomodulating
L01EC02,Novartis Pharma GmbH,Germany,2,ema,L,Antineoplastic & immunomodulating
J07BB02,Seqirus Inc.,United States,1,ema,J,Antiinfectives (systemic)
J07BB02,Seqirus Netherlands B.V.,Netherlands,2,ema,J,Antiinfectives (systemic)
L01FX05,Piramal Healthcare UK Ltd.,United Kingdom,1,ema,L,Antineoplastic & immunomodulating
L01FX05,Lonza AG,Switzerland,1,ema,L,Antineoplastic & immunomodulating
L01FX05,BSP Pharmaceuticals S.p.A.,Italy,1,ema,L,Antineoplastic & immunomodulating
L01FX05,Takeda Austria GmbH,Austria,2,ema,L,Antineoplastic & immunomodulating
L01FA03,Roche Diagnostics GmbH,Germany,1,ema,L,Antineoplastic & immunomodulating
L01FA03,Fujifilm Diosynth Biotechnologies Denmark ApS,Denmark,1,ema,L,Antineoplastic & immunomodulating
L01FA03,Roche Pharma AG,Germany,2,ema,L,Antineoplastic & immunomodulating
B01AE07,Boehringer Ingelheim Pharma GmbH & Co. KG,Germany,2,ema,B,Blood & blood forming organs
B01AE07,Boehringer Ingelheim France,France,2,ema,B,Blood & blood forming organs
A10AB05,Biocon Sdn. Bhd,NA,1,ema,A,Alimentary tract & metabolism
A10AB05,Biosimilar Collaborations Ireland Limited,Ireland,2,ema,A,Alimentary tract & metabolism
A10AB05,Ireland Limited,Ireland,2,ema,A,Alimentary tract & metabolism
L01XX23,Latina Pharma S.p.A.,Italy,2,ema,L,Antineoplastic & immunomodulating
L01XX23,Centre Spécialités Pharmaceutiques,France,2,ema,L,Antineoplastic & immunomodulating
H02AB09,Delpharm Lille SAS,France,2,ema,H,Systemic hormonal preparations
H02AB09,Skyepharma Production S.A.S.,France,2,ema,H,Systemic hormonal preparations
J01DF01,Gilead Sciences Ireland UC,Ireland,2,ema,J,Antiinfectives (systemic)
N05AH03,Fidelio Healthcare Limburg GmbH,Germany,2,ema,N,Nervous system
N05AH03,CHEPLAPHARM Registration GmbH,Germany,2,ema,N,Nervous system
N05AH03,Lilly S.A.,Spain,2,ema,N,Nervous system
N05AH03,Prestige Promotion Verkaufsfoerderung & Werbeservice GmbH,Germany,2,ema,N,Nervous system
N05AH03,CHEPLAPHARM Registration GmbH,Germany,2,ema,N,Nervous system
L01AC01,Germany.,Italy,2,ema,L,Antineoplastic & immunomodulating
N03AG04,Farmea,France,2,ema,N,Nervous system
N03AG04,Centre Spécialités Pharmaceutiques,France,2,ema,N,Nervous system
N03AG04,Biocodex,France,2,ema,N,Nervous system
L01AB02,medac Gesellschaft für klinische Spezialpräparate mbH,Germany,2,ema,L,Antineoplastic & immunomodulating
L01EL01,Janssen Pharmaceutica NV,Belgium,2,ema,L,Antineoplastic & immunomodulating
L01EL01,Janssen-Cilag SpA,Italy,2,ema,L,Antineoplastic & immunomodulating
N05AH03,Lilly S.A.,Spain,2,ema,N,Nervous system
N05AH03,Manufacturing Packaging Farmaca (MPF) B.V.,Netherlands,2,ema,N,Nervous system
N05AH03,CHEPLAPHARM Registration GmbH,Germany,2,ema,N,Nervous system
N05AH03,CHEPLAPHARM Arzneimittel GmbH,Germany,2,ema,N,Nervous system
A10AB05,Sanofi-Aventis Deutschland GmbH,Germany,1,ema,A,Alimentary tract & metabolism
B01AC04,Sanofi Winthrop Industrie,France,2,ema,B,Blood & blood forming organs
B01AC04,Delpharm Dijon,France,2,ema,B,Blood & blood forming organs
B01AC04,S.C. Zentiva S.A.,Romania,2,ema,B,Blood & blood forming organs
V03AB35,Bendalis GmbH,Germany,2,ema,V,Various
J07BC01,Dynavax GmbH,Germany,1,ema,J,Antiinfectives (systemic)
N05CM18,Orion Corporation,Finland,2,ema,N,Nervous system
J01DH56,FAREVA Mirabel,France,2,ema,J,Antiinfectives (systemic)
L01CD01,Celgene Distribution B.V.,Netherlands,2,ema,L,Antineoplastic & immunomodulating
L01CE01,Novartis Farmacéutica S.A.,Spain,2,ema,L,Antineoplastic & immunomodulating
L01CE01,Novartis Pharma GmbH,Germany,2,ema,L,Antineoplastic & immunomodulating
L01CE01,GlaxoSmithKline Manufacturing S.p.A.,Italy,2,ema,L,Antineoplastic & immunomodulating
L01CE01,Salutas Pharma GmbH,Germany,2,ema,L,Antineoplastic & immunomodulating
L01CE01,Salutas Pharma GmbH,Germany,2,ema,L,Antineoplastic & immunomodulating
J07BB02,Seqirus Vaccines Ltd,UK,1,ema,J,Antiinfectives (systemic)
J07BB02,Seqirus Netherlands B.V.,Netherlands,2,ema,J,Antiinfectives (systemic)
J05AF06,Delpharm Poznań Spółka Akcyjna,Poland,2,ema,J,Antiinfectives (systemic)
J05AF06,ViiV Healthcare Trading Services UK Limited,Ireland,2,ema,J,Antiinfectives (systemic)
J05AR02,"Glaxo Wellcome S.A.,",Spain,2,ema,J,Antiinfectives (systemic)
V03AB35,Pharma Pack Hungary Kft.,Hungary,2,ema,V,Various
N05AH03,McDermott Laboratories Ltd. t/a Gerard Laboratories,Ireland,2,ema,N,Nervous system
N05AH03,Mylan Hungary Kft.,Hungary,2,ema,N,Nervous system
L01EA03,Novartis Pharmaceutical,Slovenia,2,ema,L,Antineoplastic & immunomodulating
L01EA03,Novartis Farmacéutica SA,Spain,2,ema,L,Antineoplastic & immunomodulating
L01EA03,"Lek d.d., PE PROIZVODNJA LENDAVA",Slovenia,2,ema,L,Antineoplastic & immunomodulating
L01EA03,Manufacturing LLC,Germany,2,ema,L,Antineoplastic & immunomodulating
L04AC02,Novartis Pharma S.A.S.,France,1,ema,L,Antineoplastic & immunomodulating
L04AC02,Novartis Farmacéutica S.A.,Spain,2,ema,L,Antineoplastic & immunomodulating
L04AC02,Novartis Pharma GmbH,Germany,2,ema,L,Antineoplastic & immunomodulating
V03AB17,Cenexi,France,2,ema,V,Various
V03AB17,responsible for the release of the concerned batch.,NA,2,ema,V,Various
B02BD02,Biogen MA Inc.,United States,1,ema,B,Blood & blood forming organs
B02BD02,Swedish Orphan Biovitrum AB (publ),Sweden,2,ema,B,Blood & blood forming organs
J07BH02,Merck Sharp & Dohme LLC,United States,1,ema,J,Antiinfectives (systemic)
J07BH02,Merck Sharp,Netherlands,2,ema,J,Antiinfectives (systemic)
J07BH02,Dohme B.V.,Netherlands,2,ema,J,Antiinfectives (systemic)
J07BH02,"BN, Haarlem, The Netherlands",Netherlands,NA,ema,J,Antiinfectives (systemic)
J07BB02,GlaxoSmithKline Biologicals,Germany,1,ema,J,Antiinfectives (systemic)
J07BB02,GlaxoSmithKline Biologicals SA,Belgium,2,ema,J,Antiinfectives (systemic)
V03AB33,Merck Santé S.A.S.,France,2,ema,V,Various
V03AB33,SERB S.A.,Belgium,2,ema,V,Various
V03AB33,SERB,France,2,ema,V,Various
B01AC04,B. CONDITIONS,NA,NA,ema,B,Blood & blood forming organs
B01AC04,RESTRICTION REGARDING SUPPLY AND USE,NA,NA,ema,B,Blood & blood forming organs
B01AC04,Pharmathen S.A.,Greece,2,ema,B,Blood & blood forming organs
B02BD02,CSL Behring GmbH,Germany,1,ema,B,Blood & blood forming organs
B02BD02,Bayer HealthCare LLC,United States,1,ema,B,Blood & blood forming organs
B02BD02,Bayer AG,Germany,2,ema,B,Blood & blood forming organs
B02BD02,Bayer AG,Germany,2,ema,B,Blood & blood forming organs
B02BD02,Baxalta US Inc,United States,1,ema,B,Blood & blood forming organs
B02BD02,Baxalta Belgium Manufacturing SA,Belgium,2,ema,B,Blood & blood forming organs
B02BD02,Bayer HealthCare LLC,United States,1,ema,B,Blood & blood forming organs
B02BD02,Bayer AG,Germany,2,ema,B,Blood & blood forming organs
B02BD02,Bayer AG,Germany,2,ema,B,Blood & blood forming organs
A02BC05,Laboratorios Medicamentos Internacionales S.A.,Spain,2,germany,A,Alimentary tract & metabolism
A02BC05,AstraZeneca Dunkerque Production Rechtsform: S.C.S.,France,1,germany,A,Alimentary tract & metabolism
A02BC05,Shouguang Fukang Pharmaceutical Co. Ltd. (BS 1),China,1,germany,A,Alimentary tract & metabolism
A02BC05,"IMS S.R.L. Beiname: Micronizzazioni, IMS Intermedi Medicinali Sintetici S.r.l.",Italy,1,germany,A,Alimentary tract & metabolism
A02BC05,Catalent Micron Technologies Limited (BS 1),United Kingdom,1,germany,A,Alimentary tract & metabolism
A02BC05,Minakem Dunkerque Production (BS 1),France,1,germany,A,Alimentary tract & metabolism
A02BC05,Laboratorios Medicamentos Internacionales S.A.,Spain,2,germany,A,Alimentary tract & metabolism
A02BC05,AstraZeneca Dunkerque Production Rechtsform: S.C.S.,France,1,germany,A,Alimentary tract & metabolism
A02BC05,Shouguang Fukang Pharmaceutical Co. Ltd. (BS 1),China,1,germany,A,Alimentary tract & metabolism
A02BC05,Minakem Dunkerque Production (BS 1),France,1,germany,A,Alimentary tract & metabolism
A02BC05,Catalent Micron Technologies Limited (BS 1),United Kingdom,1,germany,A,Alimentary tract & metabolism
A02BC05,"IMS S.R.L. Beiname: Micronizzazioni, IMS Intermedi Medicinali Sintetici S.r.l.",Italy,1,germany,A,Alimentary tract & metabolism
A02BC05,Laboratorios Liconsa S.A. (BS 1),Spain,2,germany,A,Alimentary tract & metabolism
A02BC05,Laboratorios Liconsa S.A.,Spain,2,germany,A,Alimentary tract & metabolism
A02BC05,Nosch Labs Private Limited (BS 3),India,1,germany,A,Alimentary tract & metabolism
A02BC05,Laboratorios Liconsa S.A. (BS 1),Spain,2,germany,A,Alimentary tract & metabolism
A02BC05,Laboratorios Liconsa S.A.,Spain,2,germany,A,Alimentary tract & metabolism
A02BC05,Nosch Labs Private Limited (BS 3),India,1,germany,A,Alimentary tract & metabolism
A02BC05,"Lek farmacevtska druzba d.d. Beiname: Lek Pharmaceuticals d.d., Lek d.d.",Slovenia,2,germany,A,Alimentary tract & metabolism
A02BC05,"KRKA, d.d., Novo mesto HR-Beiname: KRKA, tovarna zdravil, d.d., Novo mesto",Slovenia,2,germany,A,Alimentary tract & metabolism
A02BC05,Salutas Pharma GmbH,Germany,2,germany,A,Alimentary tract & metabolism
A02BC05,Alivus Life Sciences Limited (BS 1),India,1,germany,A,Alimentary tract & metabolism
A02BC05,Laurus Labs Limited (BS 3),India,1,germany,A,Alimentary tract & metabolism
A02BC05,"KRKA, d.d., Novo mesto HR-Beiname: KRKA, tovarna zdravil, d.d., Novo mesto",Slovenia,1,germany,A,Alimentary tract & metabolism
A02BC05,Sandoz Pharmaceuticals GmbH,Germany,1,germany,A,Alimentary tract & metabolism
A02BC05,"Lek farmacevtska druzba d.d. Beiname: Lek Pharmaceuticals d.d., Lek d.d.",Slovenia,2,germany,A,Alimentary tract & metabolism
A02BC05,Towa Pharmaceutical Europe S.L.,Spain,2,germany,A,Alimentary tract & metabolism
A02BC05,Towa Pharmaceutical Europe S.L.,Spain,2,germany,A,Alimentary tract & metabolism
A02BC05,Shouguang Fukang Pharmaceutical Co. Ltd. (BS 1),China,1,germany,A,Alimentary tract & metabolism
A02BC05,"Lek farmacevtska druzba d.d. Beiname: Lek Pharmaceuticals d.d., Lek d.d.",Slovenia,2,germany,A,Alimentary tract & metabolism
A02BC05,Towa Pharmaceutical Europe S.L.,Spain,2,germany,A,Alimentary tract & metabolism
A02BC05,Towa Pharmaceutical Europe S.L.,Spain,2,germany,A,Alimentary tract & metabolism
A02BC05,Shouguang Fukang Pharmaceutical Co. Ltd. (BS 1),China,1,germany,A,Alimentary tract & metabolism
A02BC05,"Lek farmacevtska druzba d.d. Beiname: Lek Pharmaceuticals d.d., Lek d.d.",Slovenia,2,germany,A,Alimentary tract & metabolism
A02BC05,Salutas Pharma GmbH,Germany,2,germany,A,Alimentary tract & metabolism
A02BC05,"KRKA, d.d., Novo mesto HR-Beiname: KRKA, tovarna zdravil, d.d., Novo mesto",Slovenia,2,germany,A,Alimentary tract & metabolism
A02BC05,Alivus Life Sciences Limited (BS 1),India,1,germany,A,Alimentary tract & metabolism
A02BC05,Laurus Labs Limited (BS 3),India,1,germany,A,Alimentary tract & metabolism
A02BC05,"KRKA, d.d., Novo mesto HR-Beiname: KRKA, tovarna zdravil, d.d., Novo mesto",Slovenia,1,germany,A,Alimentary tract & metabolism
A02BC05,Sandoz Pharmaceuticals GmbH,Germany,1,germany,A,Alimentary tract & metabolism
A02BC05,"KRKA, d.d., Novo mesto HR-Beiname: KRKA, tovarna zdravil, d.d., Novo mesto",Slovenia,2,germany,A,Alimentary tract & metabolism
A02BC05,"KRKA, d.d., Novo mesto HR-Beiname: KRKA, tovarna zdravil, d.d., Novo mesto",Slovenia,1,germany,A,Alimentary tract & metabolism
A02BC05,Laurus Labs Limited (BS 3),India,1,germany,A,Alimentary tract & metabolism
A02BC05,Laurus Labs Limited (BS 3),India,1,germany,A,Alimentary tract & metabolism
A02BC05,Lee Pharma Limited (BS 1),India,1,germany,A,Alimentary tract & metabolism
A02BC05,Alivus Life Sciences Limited (BS 1),India,1,germany,A,Alimentary tract & metabolism
A02BC05,"KRKA, d.d., Novo mesto HR-Beiname: KRKA, tovarna zdravil, d.d., Novo mesto",Slovenia,1,germany,A,Alimentary tract & metabolism
A02BC05,"KRKA, d.d., Novo mesto HR-Beiname: KRKA, tovarna zdravil, d.d., Novo mesto",Slovenia,2,germany,A,Alimentary tract & metabolism
A02BC05,Laurus Labs Limited (BS 3),India,1,germany,A,Alimentary tract & metabolism
A02BC05,Alivus Life Sciences Limited (BS 1),India,1,germany,A,Alimentary tract & metabolism
A02BC05,"KRKA, d.d., Novo mesto HR-Beiname: KRKA, tovarna zdravil, d.d., Novo mesto",Slovenia,1,germany,A,Alimentary tract & metabolism
A02BC05,Lee Pharma Limited (BS 1),India,1,germany,A,Alimentary tract & metabolism
A02BC05,"KRKA, d.d., Novo mesto HR-Beiname: KRKA, tovarna zdravil, d.d., Novo mesto",Slovenia,1,germany,A,Alimentary tract & metabolism
A02BC05,Laurus Labs Limited (BS 3),India,1,germany,A,Alimentary tract & metabolism
A02BC05,"KRKA, d.d., Novo mesto HR-Beiname: KRKA, tovarna zdravil, d.d., Novo mesto",Slovenia,2,germany,A,Alimentary tract & metabolism
A02BC05,Merckle GmbH,Germany,2,germany,A,Alimentary tract & metabolism
A02BC05,"KRKA, d.d., Novo mesto (BS 4)",Slovenia,1,germany,A,Alimentary tract & metabolism
A02BC05,Laurus Labs Limited (BS 3),India,1,germany,A,Alimentary tract & metabolism
A02BC05,"Zhejiang Menovo Pharmaceutical Co., Ltd. (BS 1)",China,1,germany,A,Alimentary tract & metabolism
A02BC05,Glenmark Life Sciences Limited (BS 1),India,1,germany,A,Alimentary tract & metabolism
A02BC05,Glenmark Life Sciences Limited (BS 2),India,1,germany,A,Alimentary tract & metabolism
A02BC05,Lee Pharma Limited (BS 1),India,1,germany,A,Alimentary tract & metabolism
A02BC05,"KRKA, d.d., Novo mesto HR-Beiname: KRKA, tovarna zdravil, d.d., Novo mesto",Slovenia,2,germany,A,Alimentary tract & metabolism
A02BC05,Merckle GmbH,Germany,2,germany,A,Alimentary tract & metabolism
A02BC05,Laurus Labs Limited (BS 3),India,1,germany,A,Alimentary tract & metabolism
A02BC05,"Zhejiang Menovo Pharmaceutical Co., Ltd. (BS 1)",China,1,germany,A,Alimentary tract & metabolism
A02BC05,Lee Pharma Limited (BS 1),India,1,germany,A,Alimentary tract & metabolism
A02BC05,Glenmark Life Sciences Limited (BS 1),India,1,germany,A,Alimentary tract & metabolism
A02BC05,"KRKA, d.d., Novo mesto (BS 4)",Slovenia,1,germany,A,Alimentary tract & metabolism
A02BC05,Glenmark Life Sciences Limited (BS 2),India,1,germany,A,Alimentary tract & metabolism
A02BC05,ADOH B.V.,Netherlands,2,germany,A,Alimentary tract & metabolism
A02BC05,"Hainan Poly Pharm. Co., Ltd. (BS 1)",China,1,germany,A,Alimentary tract & metabolism
A02BC05,Aristo Pharma GmbH,Germany,2,germany,A,Alimentary tract & metabolism
A02BC05,Laboratorios Medicamentos Internacionales S.A.,Spain,2,germany,A,Alimentary tract & metabolism
A02BC05,AstraZeneca Dunkerque Production Rechtsform: S.C.S.,France,1,germany,A,Alimentary tract & metabolism
A02BC05,Minakem Dunkerque Production (BS 1),France,1,germany,A,Alimentary tract & metabolism
A02BC05,Cipla Limited (BS 4),India,1,germany,A,Alimentary tract & metabolism
A02BC05,Glenmark Life Sciences Limited (BS 1),India,1,germany,A,Alimentary tract & metabolism
A02BC05,IMS S.R.L. Micronizzazioni Beiname: IMS Intermedi Medicinali Sintetici S.r.l. (BS 1),Italy,1,germany,A,Alimentary tract & metabolism
A02BC05,Cipla Limited (BS 5),India,1,germany,A,Alimentary tract & metabolism
A02BC05,Shouguang Fukang Pharmaceutical Co. Ltd. (BS 1),China,1,germany,A,Alimentary tract & metabolism
A02BC05,Catalent Micron Technologies Limited,United Kingdom,1,germany,A,Alimentary tract & metabolism
A02BC05,Catalent Micron Technologies Limited (BS 1),United Kingdom,1,germany,A,Alimentary tract & metabolism
A02BC05,Cipla Limited (BS 15),India,1,germany,A,Alimentary tract & metabolism
A02BC05,Laboratorios Medicamentos Internacionales S.A.,Spain,2,germany,A,Alimentary tract & metabolism
A02BC05,Aristo Pharma GmbH,Germany,2,germany,A,Alimentary tract & metabolism
A02BC05,IMS S.R.L. Micronizzazioni Beiname: IMS Intermedi Medicinali Sintetici S.r.l. (BS 1),Italy,1,germany,A,Alimentary tract & metabolism
A02BC05,Shouguang Fukang Pharmaceutical Co. Ltd. (BS 1),China,1,germany,A,Alimentary tract & metabolism
A02BC05,Catalent Micron Technologies Limited (BS 1),United Kingdom,1,germany,A,Alimentary tract & metabolism
A02BC05,Minakem Dunkerque Production (BS 1),France,1,germany,A,Alimentary tract & metabolism
A02BC05,Cipla Limited (BS 5),India,1,germany,A,Alimentary tract & metabolism
A02BC05,Catalent Micron Technologies Limited,United Kingdom,1,germany,A,Alimentary tract & metabolism
A02BC05,AstraZeneca Dunkerque Production Rechtsform: S.C.S.,France,1,germany,A,Alimentary tract & metabolism
A02BC05,Cipla Limited (BS 15),India,1,germany,A,Alimentary tract & metabolism
A02BC05,Cipla Limited (BS 4),India,1,germany,A,Alimentary tract & metabolism
A02BC05,Glenmark Life Sciences Limited (BS 1),India,1,germany,A,Alimentary tract & metabolism
A02BC05,Sun Pharmaceutical Industries (Europe) B.V.,Netherlands,2,germany,A,Alimentary tract & metabolism
A02BC05,S.C. Terapia S.A.,Romania,2,germany,A,Alimentary tract & metabolism
