substance_raw,norm_key,is_combination,atc_codes,atc_level1,atc_origin,supplier_name,supplier_norm,supplier_id,country_iso2,source,role,status,cep_type,norm_trace
Loratadine,loratadine,False,R06AX13,R,native,IMED Healthcare Ltd.,imed healthcare,PPA1463/222/001,,hpra,mah_national,authorised,,
Loratadine,loratadine,False,R06AX|R06AX13,R,native,Bayer Limited,bayer,PA1410/075/001,,hpra,mah_national,authorised,,
Loratadine,loratadine,False,R06AX13,R,native,PCO Manufacturing Ltd.,pco manufacturing,PPA0465/510/001,,hpra,mah_national,authorised,,
Loratadine,loratadine,False,R06AX|R06AX13,R,native,Bayer Limited,bayer,PA1410/075/002,,hpra,mah_national,authorised,,
Amoxicillin,amoxicillin,False,J01CR|J01CR02,J,native,Clonmel Healthcare Ltd,clonmel healthcare,PA0126/243/001,,hpra,mah_national,authorised,,
Clavulanic acid,clavulanic acid,False,J01CR|J01CR02,J,native,Clonmel Healthcare Ltd,clonmel healthcare,PA0126/243/001,,hpra,mah_national,authorised,,
Sodium dihydrogen phosphate dihydrate,sodium,False,A06AG|A06AG01,A,native,Casen-Recordati S.L.,casen recordati s l,PA2028/001/001,,hpra,mah_national,authorised,,stripped trailing 'dihydrate'; stripped trailing 'phosphate'; stripped trailing 'dihydrogen'
Disodium phosphate dodecahydrate,disodium phosphate dodecahydrate,False,A06AG|A06AG01,A,native,Casen-Recordati S.L.,casen recordati s l,PA2028/001/001,,hpra,mah_national,authorised,,
Beclometasone dipropionate,beclometasone,False,R03BA|R03BA01,R,native,Chiesi Farmaceutici S.p.A.,chiesi farmaceutici,PA0584/006/002,,hpra,mah_national,authorised,,stripped trailing 'dipropionate'
Beclometasone dipropionate,beclometasone,False,R03BA|R03BA01,R,native,Chiesi Farmaceutici S.p.A.,chiesi farmaceutici,PA0584/006/003,,hpra,mah_national,authorised,,stripped trailing 'dipropionate'
Beclometasone dipropionate,beclometasone,False,R03BA|R03BA01,R,native,Chiesi Farmaceutici S.p.A.,chiesi farmaceutici,PA0584/006/004,,hpra,mah_national,authorised,,stripped trailing 'dipropionate'
Beclometasone dipropionate,beclometasone,False,R03BA|R03BA01,R,native,Chiesi Farmaceutici S.p.A.,chiesi farmaceutici,PA0584/006/001,,hpra,mah_national,authorised,,stripped trailing 'dipropionate'
Enoxaparin sodium,enoxaparin,False,B01AB05,B,native,PCO Manufacturing Ltd.,pco manufacturing,PPA0465/477/001,,hpra,mah_national,authorised,,stripped trailing 'sodium'
Enoxaparin sodium,enoxaparin,False,B01AB|B01AB05,B,native,Sanofi-Aventis Ireland Limited T/A SANOFI,sanofi aventis ireland t a sanofi,PA0540/097/001,,hpra,mah_national,authorised,,stripped trailing 'sodium'
Enoxaparin sodium,enoxaparin,False,B01AB|B01AB05,B,native,Sanofi-Aventis Ireland Limited T/A SANOFI,sanofi aventis ireland t a sanofi,PA0540/097/004,,hpra,mah_national,authorised,,stripped trailing 'sodium'
Enoxaparin sodium,enoxaparin,False,B01AB05,B,native,PCO Manufacturing Ltd.,pco manufacturing,PPA0465/477/002,,hpra,mah_national,authorised,,stripped trailing 'sodium'
Enoxaparin sodium,enoxaparin,False,B01AB|B01AB05,B,native,Sanofi-Aventis Ireland Limited T/A SANOFI,sanofi aventis ireland t a sanofi,PA0540/097/005,,hpra,mah_national,authorised,,stripped trailing 'sodium'
